Пушкин;Дубровский;0;лето 19
Пушкин;Капитанская дочка;0;лето 19
Пушкин;Евгений Онегин;2;лето 19
Максим Горький;Мещане;1;лето 19
Максим Горький;На дне;1;лето 19
Джон Стейнбек;Путешествие с Чарли в поисках Америки;0;осень 19
Максим Горький;Мать;1;осень 19
Чехов;Вишневый сад;1;осень 19
Джейн Остен;Гордость и предубеждение;1;осень 19
Джеймс Купер;Последний из могикан;0;осень 19
Джек Лондон;Мартин Иден;2;осень 19
Солженицын;Раковый корпус;1;осень 19
Михаил Булгаков;Мастер и Маргарита;2;осень 19

Эрнест Хемингуей;Старик и море

Эрнест Хемингуей;И восходит солнце
Эмиль Золя;Деньги
Солженицын;Архипелаг Гулаг
Достоевский;Бесы
Жан Поль Сартр;Тошнота
Шарлота Бронте;Джейн Эйр
Генри Миллер;Сексус
М. Петросян;Дом, в котором
Чарльз Дарвин;Происхождение видов
Нассим Талеб;О секретах устойчивости
Талеб;Рискуя собственной шкурой
Фейнман;Вы наверное шутите, мистер Фейнман
Брайсон;Краткая история почти всего на свете
Киссинджер;Мировой порядок
Сэм Уолтон;Как я создал Walmart
Эрик Бёрн;Игры, в которые играют люди
Алекс Крол;Теория каст и ролей
Аджемоглу, Робинсон;Why nations fail
Томас Пикетти;Капитал в XXI веке
Эдвин Лефевр;Воспоминания биржевого спекулянта
Генри Форд;Моя жизнь, мои достижения
Диксит, Нейлбафф;Теория игр
Мартин Гилберт;Черчилль
Рэй Далио;Принципы. Жизнь и работа
Отто Кернберг;Конфликт, лидерство, идеология
